Text,Actual,Predicted
trump new hire scaramucci make conciliatory debut medium washington reuters president donald trump refers medium “ fake news ” want staff use conciliatory approach journalist new communication director anthony scaramucci may implementing shift wall street financier republican fundraiser walked white house briefing room friday immediately sean spicer outgoing press secretary first day january engage friendly manner reporter wearing blue tie american flag pin dark suit scaramucci bantered correspondent pledged transparent even made respectful remark cnn cable network trump spicer sparred repeatedly made fun joking short stature apologizing trump podium called new york businessman hack politician “ brings every second right ” scaramucci said laughter referring president “ never said mr president ’ listening personally apologize th time saying ” trump probably listening reporter peppered scaramucci question pressrelated issue dogged relationship trump presidency journalist cover support briefing televised “ obviously committed transparent ’ standing ’ like talk president ” said noted cnn apologized reported something false accepted apology “ feel like ’ little bit medium bias hope deescalate turn around let ’ let message president get american people ” said announced new press secretary take spicer resigned earlier friday would sarah sander spicer ’ debut white house podium january featured long scolding reporter portrayal trump ’ inauguration day crowd number asked friday whether agreed trump ’ contention evidence million people voted illegally election scaramucci answered carefully “ president say let research guess ’ probably level truth ” said “ think found sometimes president say stuff guy medium think ’ true ’ true turn ’ closer truth people think ”,1,0
tough reality check trump pledge better heartland job wage charlotte north carolina donald trump ’ promise revive small town america face tough challenge economy decade wired direct income opportunity toward urban hub better educated little presidentelect ’ far sketchy economic plan indicates trend reversed time soon according interview expert income inequality recent occupational trend manufacturing job trump pledge bring back disappeared much automation trade deal promised rewrite process continue promised infrastructure revamp would boost middle wage job long program last economist point president barack obama ’ eight year office income best continued diverge despite nearly million new job recent strength paying middletier wage pretax basis share income top fifth household increased percent percent expense others according census estimate graphictmsnrtrselimh without sort tax redistribution policy republican traditionally opposed trump may struggle make good promise help left behind global economy economist study inequality trend say “ year catch onlots money gone top change going long slow process ” said david madland senior fellow center american progress think tank close tie democratic nominee hillary clinton ’ campaign trump campaigned promising shake washington establishment argued responsible destroying middle class job bad trade deal message hit home across rural america midsized city voter felt missed fruit sevenyear economic recovery big city may enjoyed charlotte growing fast financial hub attracts college educated talent around country democratic nominee hillary clinton better obama handily beating trump vote state ’ textile furniture belt northwest trump ’ promise economic renewal anxiety shrinking white majority offset clinton ’ urban victory giving north carolina ’ county catawaba county region one nation ’ hardesthit cheap import china diverse economy even furniture industry begun adding job many still live poverty rely disability social service support “ trade argument prominent certainly bet trump campaign made ” said john dinan political scientist wake forest university trump highlighted income inequality way clinton help lowwage industry textile offer “ new deal ” black would need tackle income gap recent data show hard may trump relies economic growth alone despite record jump household income continued surge middle wage job nationally effect income inequality “ statistically insignificant ” according census estimate obama tax income bottom fifth household increase percent according recent council economic adviser study made possible higher tax wealthy benefit poor large part estimated gain health coverage extended affordable care act trump vowed roll obamacare back instead trump proposed strike better trade deal offered familiar republican recipe tax cut business meant spur investment job ambiguous possible increase federal minimum wage typically opposed republican advocated many economist way help disenfranchised worker trump focused campaign economist say even economic growth accelerates trump may much counter downward pressure wage middle income job automation technology longstanding trend brookings institution senior fellow isabel v sawhill said researcher inequality agree one point hard move needle “ even distribute dividend growth progressive fashion ’ change thing much ” sawhill said “ shift thing margin ” correct paragraph remove extraneous word,1,0
awesome happened city council member said trump supporter ‘ business ’ charlotte government make day would think charlotte lost liberal lefty democrat living understand get decide involved local government voter dimple ajmera decided characterize president trump divisive ironic one dividing people nasty remark trump trump supporter filled next city council meeting protest awesome charlotte city council member dimple ajmera drew ire local republican party said republican support trump involved local governmentdangerous rhetoric republican supporting trump place city council whatsoever mayor race ajmera said news show flashpoint wcnc aired sundayajmera democrat appointed council january replace john autry left council join nc general assembly ajmera running one four atlarge seat fallajmera stood comment tuesday charlotte rejected trump election said people upset represents value divisiveness let divide u tackle important issue like economic mobility address issue last september half attending monday city council meeting carried trumppence sign waved small american flagsthe two side refought presidential election city council member dimple ajmera said television show last week trump voter city council mayor race controversial comment backed repeatedlyher campaign manager dan mccorkle attended meeting waving proajmera sign mccorkle told trump supporter hillary clinton received percent vote city charlotteliberal buzzword come expectsebastian feculak spoke council public forum wanted applaud dimple standing equity unity said welcome matter politics xenophopia racism sexism republican party hold accountable glad leader via charlotte observer,0,1
trump shamed country yet latest diplomacy disaster detail donald trump made fine art pssing world leader thanks fearless orange tweeterinchief colombia government furious u tooaccording colombia report donald trump met former president andres pastrana former president alvaro uribe opposition leader maralago current colombian president juan manuel santos yet gotten meet trump impressedsantos spoken trump express concern uribe lobbying u major inconvenience government colombia response gotten white house trump take care personally vicepresident oscar naranjo said uribe pastrana overstepped pushing political interest rather defined official government president foreign minister really establish maintain relation foreign government naranjo explaineduribe pastrana made abundantly clear opposed peace process kissing trump u country yet promised offer financial aidcolombia report writesonly last week senator uribe hardright democratic center party wrote letter asked u financially support peace processon sunday uribe published letter u congress twitter warning effort end year political violence could lead colombia becoming authoritarian communist state similar venezuelaadditionally former head state claimed transitional justice court could try number war crime set communist sympathizersjuan carlos pinzon colombia ambassador washington said uribe pastrana made meeting trump sound much important actually encounter meeting formal date pinzon saidso seems add colombia list country trump offended moron without slightest understanding foreign policy lovelyfeatured image via joe raedlegetty image,0,1
breaking third democrat senator vote supreme court nominee neil gorsuch assuming republican support gorsuch nominee would need vote five democrat achieve vote needed avoid filibuster number hit senate majority leader mitch mcconnell indicated invoke nuclear option end filibuster supreme court nominee require majority vote confirmationsen heidi heitkamp dnd joe minchin dwva announced thursday would vote confirm gorsuch supreme court senator constitutional obligation advice consent nominee fill supreme court vacancy simply put responsibility job elected official manchin said statement thursday vote confirm ninth justice supreme court north dakota also pledged vote gorsuch released statement confirm due diligence meeting judge gorsuch reviewing record testimony senate judiciary committee decided vote favor confirmation record balanced meticulous wellrespected jurist understands rule law,0,1
salt police yes salt regulation government know better salt police coming nyc thanks nutty liberal mayor new york city new regulation salt restaurant fined providing salt intro menu oy vey new york ap new york city plan start enforcing firstofitskind requirement chain restaurant use icon warn patron salty food getting appeal court goahead thursday start issuing finesthe novel rule took effect december eatery already added requisite saltshakerlike icon menu item contain salt doctor recommend ingesting entire daybut penalty limbo national restaurant association fight measure court clash ongoing appeal court thursday lifted temporary hold issuing fine case play fine city start enforcing rule june democratic mayor bill de blasio applauded appeal court decision called commonsense regulation help new yorkers make better decision lead healthier life city first round lawsuit trial court february restaurant association appealedvia fox ny,0,1
texas prosecutor offer probation antiabortion activist behind video houston reuters antiabortion activist indicted using fake driver ’ license id aid secret filming inside planned parenthood facility turned authority houston thursday offered probation deal prosecutor said david daleiden indicted january houstonarea grand jury appeared harris county district court charge tampering governmental record bring year prison also face misdemeanor charge trying procure fetal tissue daleiden lead californiabased center medical progress released secretly filmed video used accuse woman ’ health group trading aborted fetal tissue offered probation deal keep clean record certain period time charge would dropped prosecutor said daleiden ’ lawyer said planned reject deal seeking apology prosecutor daleiden told news conference outside court want texas prosecute planned parenthood saying “ open business baby body part ” planned parenthood denied daleiden ’ allegation sued federal court arguing people recorded video acted illegally twist texas republican leader ordered investigation grand jury january cleared planned parenthood wrongdoing indicted video maker daleiden sandra merritt “ ’ glad ’ held accountable hope law enforcement agency pursue criminal charge well ” said eric ferrero vice president planned parenthood federation america merritt lesser figure filming appeared houston court wednesday also offered probation deal lawyer activist dispute pair used false id said investigative journalism countering contention eric ferrero vice president planned parenthood federation america said “ ’ know journalist engaged wire fraud mail fraud lied multiple government agency tampered government document broken law least four state lie found ’ hard imagine anyone calling ‘ journalism ’ ” video released last summer purported show planned parenthood official trying negotiate price aborted fetal tissue federal law donated human fetal tissue may used research profiting sale prohibited response video texas republicancontrolled state tried halt funding planned parenthood u congressional republican pushed funding cut planned parenthood said daleiden merritt presented fake id april posed research executive fictitious company secretly film conversation health administrative center houston,1,0
breaking socialist brazil declares financial disaster le month start olympics corruption socialism go hand hand brazil exceptionhere backstory corrupt brazillian president drained coffer helped lower oil price devastated brazil economythe impeachment brazilian president dilma rousseff cooking book hide electionyear spending looting stateowned oil company campaign crony really trial rousseff socialist policiesthose policy drove deficit win vote bet heavily export china failed retool world ninthlargest economy compete world drove recessionrousseff first elected coattail mentor luiz cio lula da silva leftist labor leader exceeded expectation president da silva benefited windfall revenue export oil natural gas mineral agriculture good convinced bloated antipoverty program sustainableunfortunately da silva rousseff ignored dire need improve education reform tangled tax code fix stifling labor law invest infrastructure make easier create operate business read nypfast forward todayrio de janeiro ap acting governor rio de janeiro state declared state financial disaster leeway manage state scarce resource le two month brazil host olympic gamesfrancisco dornelles announced decision friday allow rio state government change budgetary priority without disrespecting brazil fiscal lawsthe move let dornelles adopt exceptional measure pay cost related game state grapple country economic recessionthe summer olympic game held rio de janeiro aug dornelles office said statement decision made dip revenue tax oil royalty stopping state rio de janeiro honoring commitment organization olympic paralympic game financial crisis brought several difficulty essential public service could cause total collapse public security health care education urban mobility environmental management statement saidrio state government dire strait two hospital taken rio de janeiro city government allow doctor keep receiving paycheck police station underfunded asked neighbor donate basic item like toilet paper public worker retiree suffered monthslong delay receiving moneyread yahoo news,0,1
obama ’ america incoming u citizen longer required pledge “ bear arm behalf united state ” president arm bear u citizenship immigration service tuesday said longer require incoming u citizen pledge bear arm behalf united state perform noncombatant service armed force part naturalization processthose line oath allegiance people recite become u citizen uscis said people may able exclude phrase reason related religion conscientious objectionuscis said people certain religious training deeply held moral ethical code may say phrase naturalizedthe agency said people belong specific church religion use exemption may attest u official administering oath beliefsvia washington examiner,0,1
texas politician slammed tweet sent florida shooting austin texas reuters office texas lieutenant governor dan patrick republican evangelical christian sunday deleted tweet many saw offensive insensitive sent shortly deadly attack gay nightclub florida “ deceived god mocked man reaps sow ” read bible verse patrick sent official twitter account hour worst mass shooting u history left least dead office immediately available comment told local medium including dallas morning news tweet scheduled release well shooting office regularly sends bible verse sunday since deleted replaced another passage said deleted tweet politician condemned samesex marriage fought lgbt right still raised ire accused patrick blaming victim “ disgrace state time national sorrow resign ” prominent lgbt activist george takei wrote twitter texas democratic party called patrick apologize immediately “ make right better ” said statement patrick currently country yet made comment medium tweet new verse sent account read “ salvation righteous come lord stronghold time trouble ”,1,0
breaking u appeal court deal obama ’ executive amnesty huge blow many time lawless president plead unconstitutional position supreme court constitutional lawyer obama sure difficult time understanding law work president barack obama executive action shield million undocumented immigrant deportation suffered legal setback monday appeal supreme court administration optionthe decision th u circuit court appeal new orleans uphold may injunction deal blow obama plan opposed republican challenged statesthe obama administration said within right ask department homeland security use discretion deporting nonviolent migrant u family tiesthe case become focal point democratic president effort change u immigration policyseeing progress legislative reform congress obama announced last november would take executive action help immigrant faced criticism republican say program grant amnesty lawbreakersin ruling appeal court said denying government appeal stay may injunction determining appeal unlikely succeed merit republican hailed ruling victory obama administrationjohn scalise republican house representative said twitter message court decision major victory rule law texas attorney general ken paxton said statement ruling meant state led legal challenge secured important victory put halt president lawlessness via reuters,0,1
breaking ’ “ independence day ” …historic uk brexit vote…uk leave eu globalist elite shocking victory leave stayit three oclock morning became clear leave would win john rentoul johnrentoul june watch see outspoken ukip party leader nigel farage month ago destroy eu elitist leader germany angela merkle france francois hollande willingness open border economic migrant people intention assimilating countriesas result poured picture emerged sharply divided nation strong proeu vote economic cultural powerhouse london semiautonomous scotland countered sweeping antiestablishment sentiment exit across rest england southern seaside town rustbelt former industrial powerhouse north lot people grievance coming got start listening said deputy labour party leader john mcdonnellwith million expected million vote counted result closely split leave ahead hundred thousand vote remain underperforming analyst expectation remain stronghold better expected said john curtice university strathclyde political scientist bbc election analyst far place leave better expected may possible expert going egg face later tonight saida vote leave eu would destabilize nation trading bloc created ash world war ii keep peace europe remain vote would nonetheless leave britain divided eu scrambling reformthe british pound plunged year low friday result country european union referendum gave leave side small growing leadthe figure delivered deep shock financial market overturning earlier anticipation narrow victory remain pound initially soared poll closed two opinion survey put remain ahead two leading supporter leave campaign said appeared proeu side wonbut suffered one biggest oneday fall history plummeting result suggested strong possibility uk would vote quit bloc result poured picture emerged sharply divided nation strong proeu vote economic cultural powerhouse london semiautonomous scotland countered sweeping antiestablishment sentiment exit across rest england southern seaside town rustbelt former industrial powerhouse northnigel farage leader uk independence party declared june britain independence day via uk daily mail birmingham vote leave full result euref pictwittercommyjwgsf bbc election bbcelection june screen shot bbc recent polling result live update go bbc nigel farage said even leave campaign loses referendum win war nigel farage big winner todaythe ukip leader said eurosceptics dismissed fringey fruitcake past would attract around vote castwhile remain might edge win said eurosceptic genie bottle put back eu said stay part union doomed finished anyway uk voted thursday referendum leave remain part european unionoutspoken ukip party leader nigel farage uk voted break free globalistvia bbc,0,1
two democrat announce plan vote neil gorsuch supreme court video senator constitutional obligation advice consent nominee fill supreme court vacancy simply put responsibility job elected official manchin said statement thursday vote confirm ninth justice supreme court north dakota also pledged vote gorsuch released statement confirm due diligence meeting judge gorsuch reviewing record testimony senate judiciary committee decided vote favor confirmation record balanced meticulous wellrespected jurist understands rule law,0,1
breaking activist appeal court rule trump…trump come swinging…tweets awesome reply federal appeal court ruled u remain open refugee visa holder seven muslimmajority country rejecting bid trump administration reinstate travel ban name national securitythe san franciscobased appeal court thursday spurned government request close door day public debate president donald trump attack judicial system rush fearful immigrant ruling increase likelihood administration ask supreme court step case biggest test trump executive power yet public interest free flow travel avoiding separation family freedom discrimination threejudge panel said unanimous page rulinga victory tech company wanting cheap laborthe panel ruling favor immigrant victory washington minnesota state sued facebook inc google inc microsoft corp said court paper measure would hinder global businessesread bloomberg business,0,1
graphic account hulk hogan sex tape read florida court st petersburg fla reuters gawker founder nick denton read graphic account act shown sex tape featuring wrestling celebrity hulk hogan florida courtroom tuesday saying company ’ online publication “ stand test time ” gawker sued million hogan say release violated privacy new yorkbased medium company could forced business unfavorable verdict civil trial testing limit freedom press hogan ’ attorney asked denton highprofile figure world web publishing read aloud explicit article accompanying video even tone lawsuit center oneminute second video gawker excerpted sex tape unknown origin yet shown jury st petersburg florida near hogan ’ home clip show hogan ’ tryst wife thenbest friend radio “ shock jock ” personality bubba love sponge hogan say consensual encounter recorded without knowledge five year gawker ’ posting denton said watched video read article publication described role broadly overseeing portfolio website gawker medium still stood piece keeping gawker ’ mission produce “ true interesting ” journalism “ piece value true story honestly told interesting million people ” denton said hogan sex tape piece one post gawker website former company executive testified later tuesday video alone viewed million time percent watching entire clip denton ’ testimony spread two day highlighted approach website run gawker company include technologyoriented gizmodo womenfocused jezebel pressed view privacy right crossexamination denton said celebrity “ smaller zone ” juror question denton one asked sex video would protected speech first amendment u constitution gratuitous “ ” replied previously said think sexual content overreached hogan ’ attorney david houston issued statement suggesting jury question “ perhaps set tone deliberation ”,1,0
u apologizes human right violation un review country worse human right violation obama apology tour greatest country world continues united state heard widespread concern monday excessive use force lawenforcement official minority faced un main human right body review recordwashington also faced call work toward abolishing death penalty push ahead closing guantanamo bay detention center ensure effective safeguard abuse internet surveillance appearance un human right council geneva second review u right record following first string country ranging malaysia mexico pressed u redouble effort prevent police using excessive force minority welcome mexico likely find human right violation oh prison malaysia nothing see unhuman right council pressing issue deal like hmmm maybe concerned whether terrorist keeping guantanamo bay prison soccer ball properly inflated must rededicate ensuring civilrights law live promise justice department official james cadogan told delegate adding particularly important area police practice pointing recent highprofile case officer killing unarmed black resident event challenge u better work harder progress dialogue action said session opening added government authority prosecute official wilfully use excessive force criminal charge brought lawenforcement official past six yearsseveral country including brazil kenya voiced concern extent u surveillance light report national security agency activitiesdavid bitkower deputy assistant attorney general responded u intelligence collection program activity subject stringent multilayered oversight mechanism added country collect intelligence suppress dissent give u business competitive advantage extensive effective oversight prevent abuse faced widespread call moratorium execution move scrap death penalty bitkower noted issue extensive debate controversy within u pointed heightened procedural safeguard defendant prosecuted capital offensesbrig gen richard gross legal counsel chairman u joint chief staff told council president barack obama said closing guantanamo thwarted congress national imperative remaining detainee detained lawfully saidvia ap news,0,1
